G;+;Дата;Время;Документ;Номер;Комментарий;АвтоматическийВвод;УникальныйИдентификатор;флВ;УникальныйИдентификаторА2000;ОтборВЖурнале;ИД_Ефа;Филиал документа;Филиал и тип журнала документов;Тип журнала документов;Поступление;Отгрузка;Контрагент;Основание;Номер входящего документа;;
;+;01.10.13;12:00:00;Отгрузка товаров, продукции;00017406;Номер документа в Е-Фарма 78120/ВЗ-00000121;1;;;;;67A3F84A-4B80-4FB7-A6DD-A247349B6D99;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;;1237,5;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);;;
;+;01.10.13;12:00:00;Поступление товаров;00000102727;Номер документа в Е-Фарма 350511;1;;;;;85F16548-0D50-499C-9FD1-5BDF4AE76A59;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11176,22;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350511;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102731;Номер документа в Е-Фарма 351820;1;;;;;4948BDDB-FFF5-45DA-9DE8-85EE68D70074;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;30488,7;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351820;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102732;Номер документа в Е-Фарма 352408;1;;;;;09497CB9-D8F9-48BD-8BAA-FB3C594BFE50;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;14503,29;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352408;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102748;Номер документа в Е-Фарма 351291;1;;;;;EDDCF112-6E8E-4991-92E2-BAE73B284F22;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;20884,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351291;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102749;Номер документа в Е-Фарма 351294;1;;;;;40BAFA2F-F459-4F98-BE8E-93A20B1ECFB8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;21314,29;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351294;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102751;Номер документа в Е-Фарма 352489;1;;;;;7E2CB8C1-89AA-448F-801B-09868BC7BD33;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;24327,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352489;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102752;Номер документа в Е-Фарма 352491;1;;;;;220D4B61-E48B-4313-A6E5-1DBC8342032C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4095,83;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352491;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102753;Номер документа в Е-Фарма 352612;1;;;;;706E3624-DD0F-4625-BE56-720BA0F7DD93;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13097,73;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352612;01.10.13;01.10.13
;+;01.10.13;12:00:00;Поступление товаров;00000102759;Номер документа в Е-Фарма 350907;1;;;;;92C83866-C1E3-4607-BCC7-E6333587D6B9;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4159,53;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350907;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102762;Номер документа в Е-Фарма 350935;1;;;;;A7B7495C-0B88-43CE-96B0-559EFFD58A94;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7139,99;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350935;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102766;Номер документа в Е-Фарма 352079;1;;;;;AD1C0D7C-B140-491D-8AB7-97AA41CD41FA;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;16445;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352079;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102785;Номер документа в Е-Фарма 351289;1;;;;;DA759792-5873-4455-A467-F26C48696365;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;48251,94;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351289;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102786;Номер документа в Е-Фарма 351295;1;;;;;074B04D7-093B-48B2-9BB7-CCB4ED34F2C6;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5748,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351295;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102788;Номер документа в Е-Фарма 351699;1;;;;;5FF1D9EA-4C76-491A-91A6-72F5D174DBB0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;33660;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351699;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102799;Номер документа в Е-Фарма 350440;1;;;;;7D18B71F-A953-4B24-9259-31611CF0B0B6;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8607,5;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350440;30.09.13;30.09.13
